trip_id,route_id,service_id,trip_headsign,block_id
271_TMS101,11,1,Loop,118
586_TMS237,13,2,Loop,601
359_TMS161,14,1,Loop,118
239_TMS70,10,1,Loop,120
671_TMS336,6,3,Loop,712
594_TMS244,13,2,Loop,603
119_TMS21,5,1,Loop,105
386_TMS691,16,1,Loop,113
39_TMS276,2,1,Loop,106
131_TMS31,6,1,Loop,104
443_TMS296,2,2,Loop,612
645_TMS307,2,3,Loop,713
48_TMS285,2,1,Loop,106
631_TMS740,21,2,Loop,612
84_TMS314,4,1,Loop,121
351_TMS153,14,1,Loop,119
59_TMS492,3,1,Loop,115
694_TMS423,10,3,Loop,701
358_TMS160,14,1,Loop,117
713_TMS467,12,3,Loop,710
80_TMS513,3,1,Loop,116
587_TMS238,13,2,Loop,605
295_TMS125,12,1,Loop,105
616_TMS703,16,2,Loop,613
121_TMS22,5,1,Loop,101
293_TMS123,12,1,Loop,115
201_TMS401,9,1,Loop,103
368_TMS673,16,1,Loop,114
623_TMS253,17,2,Loop,615
193_TMS393,9,1,Loop,103
642_TMS571,1,3,Loop,712
360_TMS162,14,1,Loop,119
75_TMS508,3,1,Loop,116
147_TMS47,6,1,Loop,112
129_TMS29,6,1,Loop,104
437_TMS565,1,2,Loop,612
74_TMS507,3,1,Loop,116
267_TMS97,11,1,Loop,117
466_TMS189,4,2,Loop,610
363_TMS668,16,1,Loop,113
184_TMS375,8,1,Loop,107
24_TMS554,1,1,Loop,111
60_TMS493,3,1,Loop,115
490_TMS213,6,2,Loop,607
318_TMS645,13,1,Loop,103
284_TMS114,12,1,Loop,113
196_TMS396,9,1,Loop,101
336_TMS138,14,1,Loop,117
448_TMS301,2,2,Loop,606
500_TMS222,7,2,Loop,610
380_TMS685,16,1,Loop,124
511_TMS586,8,2,Loop,605
81_TMS514,3,1,Loop,116
504_TMS579,8,2,Loop,610
171_TMS362,8,1,Loop,108
518_TMS593,9,2,Loop,613
218_TMS418,9,1,Loop,103
727_TMS482,16,3,Loop,710
313_TMS640,13,1,Loop,101
190_TMS381,8,1,Loop,107
332_TMS659,13,1,Loop,103
34_TMS271,2,1,Loop,105
624_TMS254,17,2,Loop,615
537_TMS612,9,2,Loop,601
717_TMS662,13,3,Loop,707
148_TMS48,6,1,Loop,112
87_TMS317,4,1,Loop,121
539_TMS430,10,2,Loop,611
468_TMS191,4,2,Loop,610
654_TMS520,3,3,Loop,709
279_TMS109,12,1,Loop,116
679_TMS387,8,3,Loop,705
400_TMS174,17,1,Loop,122
662_TMS574,5,3,Loop,707
665_TMS577,5,3,Loop,714
582_TMS630,12,2,Loop,605
197_TMS397,9,1,Loop,102
617_TMS704,16,2,Loop,604
533_TMS608,9,2,Loop,613
566_TMS622,12,2,Loop,605
701_TMS455,11,3,Loop,701
169_TMS360,8,1,Loop,106
236_TMS67,10,1,Loop,120
111_TMS13,5,1,Loop,105
517_TMS592,9,2,Loop,604
314_TMS641,13,1,Loop,102
436_TMS564,1,2,Loop,606
106_TMS8,5,1,Loop,107
88_TMS318,4,1,Loop,121
311_TMS638,13,1,Loop,102
98_TMS1,5,1,Loop,108
503_TMS385,8,2,Loop,605
549_TMS440,10,2,Loop,611
234_TMS65,10,1,Loop,120
163_TMS350,7,1,Loop,114
733_TMS488,17,3,Loop,703
321_TMS648,13,1,Loop,102
254_TMS84,11,1,Loop,117
333_TMS135,14,1,Loop,117
50_TMS287,2,1,Loop,106
158_TMS345,7,1,Loop,110
528_TMS603,9,2,Loop,601
599_TMS469,14,2,Loop,608
710_TMS464,12,3,Loop,713
668_TMS333,6,3,Loop,706
101_TMS4,5,1,Loop,106
346_TMS148,14,1,Loop,119
675_TMS354,7,3,Loop,711
419_TMS725,21,1,Loop,111
595_TMS245,13,2,Loop,605
310_TMS637,13,1,Loop,101
203_TMS403,9,1,Loop,102
387_TMS692,16,1,Loop,108
588_TMS239,13,2,Loop,610
176_TMS367,8,1,Loop,108
674_TMS353,7,3,Loop,710
576_TMS627,12,2,Loop,603
7_TMS537,1,1,Loop,111
99_TMS2,5,1,Loop,105
505_TMS580,8,2,Loop,605
459_TMS181,3,2,Loop,607
469_TMS192,4,2,Loop,610
714_TMS468,13,3,Loop,705
425_TMS731,21,1,Loop,111
114_TMS16,5,1,Loop,115
384_TMS689,16,1,Loop,108
23_TMS553,1,1,Loop,110
418_TMS724,21,1,Loop,110
706_TMS460,11,3,Loop,701
441_TMS294,2,2,Loop,602
471_TMS194,5,2,Loop,606
378_TMS683,16,1,Loop,124
278_TMS108,12,1,Loop,114
262_TMS92,11,1,Loop,118
614_TMS701,16,2,Loop,604
151_TMS51,6,1,Loop,110
610_TMS697,16,2,Loop,613
249_TMS441,11,1,Loop,118
6_TMS536,1,1,Loop,110
168_TMS359,8,1,Loop,106
70_TMS503,3,1,Loop,116
381_TMS686,16,1,Loop,113
689_TMS617,9,3,Loop,705
124_TMS25,5,1,Loop,114
600_TMS470,14,2,Loop,608
424_TMS730,21,1,Loop,110
692_TMS421,10,3,Loop,701
102_TMS5,5,1,Loop,105
445_TMS298,2,2,Loop,606
208_TMS408,9,1,Loop,123
256_TMS86,11,1,Loop,118
415_TMS721,21,1,Loop,110
556_TMS448,11,2,Loop,611
463_TMS185,3,2,Loop,607
41_TMS278,2,1,Loop,108
698_TMS427,10,3,Loop,701
659_TMS329,4,3,Loop,704
440_TMS293,2,2,Loop,612
273_TMS103,11,1,Loop,117
344_TMS146,14,1,Loop,118
291_TMS121,12,1,Loop,101
559_TMS451,11,2,Loop,611
485_TMS208,6,2,Loop,607
56_TMS489,3,1,Loop,113
574_TMS626,12,2,Loop,605
568_TMS623,12,2,Loop,610
721_TMS529,16,3,Loop,712
605_TMS475,14,2,Loop,609
512_TMS587,8,2,Loop,603
290_TMS120,12,1,Loop,113
423_TMS729,21,1,Loop,109
666_TMS578,5,3,Loop,705
303_TMS133,12,1,Loop,114
374_TMS679,16,1,Loop,114
86_TMS316,4,1,Loop,121
493_TMS216,6,2,Loop,607
35_TMS272,2,1,Loop,107
216_TMS416,9,1,Loop,102
540_TMS431,10,2,Loop,611
414_TMS720,21,1,Loop,111
90_TMS320,4,1,Loop,121
54_TMS291,2,1,Loop,113
100_TMS3,5,1,Loop,107
697_TMS426,10,3,Loop,701
195_TMS395,9,1,Loop,104
204_TMS404,9,1,Loop,103
92_TMS322,4,1,Loop,121
339_TMS141,14,1,Loop,117
558_TMS450,11,2,Loop,611
10_TMS540,1,1,Loop,111
542_TMS433,10,2,Loop,611
737_TMS750,21,3,Loop,711
643_TMS305,2,3,Loop,704
651_TMS517,3,3,Loop,715
22_TMS552,1,1,Loop,109
5_TMS535,1,1,Loop,109
711_TMS465,12,3,Loop,707
63_TMS496,3,1,Loop,115
320_TMS647,13,1,Loop,104
220_TMS420,9,1,Loop,104
583_TMS234,12,2,Loop,613
157_TMS344,7,1,Loop,112
508_TMS583,8,2,Loop,603
143_TMS43,6,1,Loop,112
140_TMS40,6,1,Loop,109
272_TMS102,11,1,Loop,119
296_TMS126,12,1,Loop,115
182_TMS373,8,1,Loop,107
552_TMS444,11,2,Loop,611
532_TMS607,9,2,Loop,604
260_TMS90,11,1,Loop,117
174_TMS365,8,1,Loop,108
57_TMS490,3,1,Loop,114
178_TMS369,8,1,Loop,107
585_TMS235,12,2,Loop,604
13_TMS543,1,1,Loop,111
569_TMS228,12,2,Loop,601
567_TMS227,12,2,Loop,604
376_TMS681,16,1,Loop,124
377_TMS682,16,1,Loop,113
53_TMS290,2,1,Loop,106
672_TMS337,6,3,Loop,716
85_TMS315,4,1,Loop,121
161_TMS348,7,1,Loop,114
49_TMS286,2,1,Loop,108
590_TMS241,13,2,Loop,610
286_TMS116,12,1,Loop,114
699_TMS428,10,3,Loop,701
230_TMS61,10,1,Loop,120
592_TMS243,13,2,Loop,610
738_TMS751,21,3,Loop,712
638_TMS567,1,3,Loop,712
663_TMS575,5,3,Loop,709
330_TMS657,13,1,Loop,102
648_TMS310,2,3,Loop,710
531_TMS606,9,2,Loop,601
95_TMS325,4,1,Loop,121
315_TMS642,13,1,Loop,103
601_TMS471,14,2,Loop,608
455_TMS177,3,2,Loop,607
373_TMS678,16,1,Loop,115
578_TMS628,12,2,Loop,605
644_TMS306,2,3,Loop,711
589_TMS240,13,2,Loop,605
104_TMS256,5,1,Loop,106
732_TMS487,17,3,Loop,703
214_TMS414,9,1,Loop,123
708_TMS462,12,3,Loop,715
507_TMS582,8,2,Loop,605
489_TMS212,6,2,Loop,607
735_TMS748,21,3,Loop,704
94_TMS324,4,1,Loop,121
501_TMS223,7,2,Loop,610
341_TMS143,14,1,Loop,118
355_TMS157,14,1,Loop,117
497_TMS220,7,2,Loop,603
219_TMS419,9,1,Loop,102
164_TMS351,7,1,Loop,114
44_TMS281,2,1,Loop,106
96_TMS326,4,1,Loop,121
627_TMS736,21,2,Loop,606
392_TMS166,17,1,Loop,122
306_TMS633,13,1,Loop,104
105_TMS7,5,1,Loop,105
680_TMS388,8,3,Loop,715
37_TMS274,2,1,Loop,105
72_TMS505,3,1,Loop,116
684_TMS392,8,3,Loop,714
238_TMS69,10,1,Loop,120
366_TMS671,16,1,Loop,113
535_TMS610,9,2,Loop,604
630_TMS739,21,2,Loop,606
695_TMS424,10,3,Loop,701
285_TMS115,12,1,Loop,116
484_TMS207,6,2,Loop,607
412_TMS718,21,1,Loop,109
596_TMS246,13,2,Loop,603
577_TMS231,12,2,Loop,613
700_TMS454,11,3,Loop,701
427_TMS733,21,1,Loop,112
167_TMS358,8,1,Loop,105
69_TMS502,3,1,Loop,116
125_TMS331,6,1,Loop,101
649_TMS311,2,3,Loop,716
547_TMS438,10,2,Loop,611
154_TMS341,7,1,Loop,112
26_TMS556,1,1,Loop,112
40_TMS277,2,1,Loop,105
342_TMS144,14,1,Loop,117
289_TMS119,12,1,Loop,114
520_TMS595,9,2,Loop,604
146_TMS46,6,1,Loop,112
27_TMS264,2,1,Loop,108
137_TMS37,6,1,Loop,102
482_TMS204,5,2,Loop,602
